Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
reparaciones de fontaneria;3;2;-1;30;0.00;http://www.hogar-soluciones.es/servicios/fontaneria;0.51;0.00;0.69;591000;0.75,0.99,0.99,0.99,0.50,0.50,0.99,0.75,0.50,0.50,0.75,0.50
reparaciones fontaneria;2;1;-1;20;0.92;http://www.hogar-soluciones.es/servicios/fontaneria;0.49;0.30;0.82;406000;0.75,0.50,0.75,0.99,0.25,0.25,0.50,0.50,0.25,0.50,0.75,0.50
empresa pintores;2;2;0;20;1.92;http://www.hogar-soluciones.es/servicios/pintura;0.49;0.63;0.91;1010000;0.25,0.99,0.99,0.50,0.99,0.75,0.25,0.25,0.75,0.25,0.25,0.50
servicio tecnico lavavajillas;11;16;5;50;2.40;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.44;0.72;0.89;552000;0.71,0.71,0.56,0.99,0.71,0.71,0.99,0.71,0.43,0.71,0.99,0.99
mosquiteras velcro;10;12;2;70;0.00;http://www.hogar-soluciones.es/blog/58/instalacion-mosquiteras;0.40;0.00;0.63;24000;0.15,0.35,0.54,0.99,0.42,0.27,0.15,0.04,0.04,0.04,0.04,0.08
empresa pintura;4;5;1;30;1.56;http://www.hogar-soluciones.es/servicios/pintura;0.40;0.41;0.60;28700000;0.75,0.25,0.50,0.99,0.75,0.75,0.50,0.50,0.50,0.75,0.75,0.50
empresas de reparaciones del hogar;4;4;0;30;1.20;https://www.hogar-soluciones.es/;0.40;0.32;0.80;954000;0.71,0.28,0.28,0.14,0.43,0.14,0.14,0.14,0.99,0.28,0.56,0.43
reparacion ventanas aluminio;3;3;0;20;1.65;http://www.hogar-soluciones.es/servicios/carpinteria_aluminio;0.34;0.37;0.77;434000;0.99,0.67,0.67,0.99,0.67,0.33,0.33,0.99,0.67,0.67,0.33,0.67
tecnico en electrodomesticos;3;2;-1;20;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.34;0.00;1.00;1040000;0.99,0.40,0.20,0.20,0.20,0.20,0.20,0.60,0.40,0.20,0.40,0.20
cambio de cerradura;9;10;1;50;2.93;https://www.hogar-soluciones.es/servicios/cerrajeria;0.28;0.56;0.69;700000;0.71,0.56,0.71,0.56,0.71,0.99,0.99,0.99,0.99,0.99,0.71,0.99
pintura casas;11;13;2;30;1.76;http://www.hogar-soluciones.es/servicios/pintura;0.26;0.31;0.47;21100000;0.60,0.40,0.60,0.60,0.99,0.80,0.40,0.60,0.40,0.60,0.40,0.80
servicio tecnico reparacion electrodomesticos;4;2;-2;20;2.18;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.26;0.38;0.64;735000;0.33,0.67,0.33,0.67,0.67,0.67,0.33,0.99,0.33,0.33,0.33,0.33
empresa de reparaciones del hogar;4;0;0;20;0.62;https://www.hogar-soluciones.es/;0.26;0.11;0.70;1120000;0.50,0.75,0.25,0.50,0.50,0.25,0.50,0.75,0.75,0.99,0.75,0.50
servicios de pintura;4;6;2;20;0.00;http://www.hogar-soluciones.es/servicios/pintura;0.26;0.00;0.67;24500000;0.99,0.99,0.67,0.33,0.33,0.33,0.33,0.67,0.67,0.33,0.67,0.67
hogar reparacion;2;0;0;10;0.00;https://www.hogar-soluciones.es/;0.24;0.00;0.44;5010000;0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.99,0.99,0.99,0.99,0.99
reparaciones de persianas;7;7;0;30;1.33;http://www.hogar-soluciones.es/servicios/persianas_y_Toldos;0.22;0.20;0.74;745000;0.40,0.40,0.99,0.80,0.40,0.40,0.60,0.60,0.60,0.60,0.80,0.60
empresas de reparaciones;7;6;-1;30;2.23;https://www.hogar-soluciones.es/;0.22;0.34;0.87;13900000;0.40,0.40,0.60,0.60,0.40,0.20,0.60,0.99,0.80,0.20,0.40,0.80
pintura de pisos;5;5;0;20;0.94;http://www.hogar-soluciones.es/servicios/pintura;0.19;0.12;0.55;10600000;0.67,0.99,0.67,0.33,0.67,0.67,0.67,0.67,0.33,0.33,0.33,0.99
empresas reparaciones hogar;6;0;0;20;1.02;https://www.hogar-soluciones.es/;0.19;0.13;0.81;683000;0.99,0.99,0.50,0.99,0.99,0.50,0.50,0.99,0.50,0.99,0.50,0.99
tecnicos electrodomesticos;5;5;0;20;2.14;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.19;0.27;0.97;402000;0.50,0.99,0.50,0.75,0.75,0.75,0.75,0.25,0.25,0.50,0.25,0.25
pintores casas;5;7;2;20;0.74;http://www.hogar-soluciones.es/servicios/pintura;0.19;0.09;0.73;1620000;0.99,0.33,0.22,0.33,0.33,0.11,0.22,0.11,0.11,0.11,0.11,0.11
pintores de pisos;11;9;-2;20;2.06;http://www.hogar-soluciones.es/servicios/pintura;0.17;0.24;0.74;755000;0.99,0.99,0.67,0.33,0.67,0.33,0.67,0.99,0.99,0.67,0.67,0.67
mosquiteras con velcro;12;12;0;70;0.00;http://www.hogar-soluciones.es/blog/58/instalacion-mosquiteras;0.17;0.00;0.66;44000;0.19,0.35,0.54,0.99,0.81,0.42,0.19,0.08,0.04,0.04,0.04,0.04
pintores pisos;3;5;2;10;2.02;http://www.hogar-soluciones.es/servicios/pintura;0.17;0.23;0.86;711000;0.99,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.50,0.25
pintores de paredes;9;7;-2;30;0.98;http://www.hogar-soluciones.es/servicios/pintura;0.17;0.11;0.91;2580000;0.99,0.40,0.40,0.60,0.20,0.40,0.80,0.60,0.40,0.60,0.40,0.60
servicio de reparacion de lavadoras;3;8;5;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.17;0.00;1.00;651000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
reparacion de ventanas de aluminio;10;10;0;30;1.96;http://www.hogar-soluciones.es/servicios/carpinteria_aluminio;0.17;0.22;0.70;679000;0.44,0.22,0.11,0.22,0.22,0.11,0.11,0.22,0.33,0.11,0.99,0.33
presupuesto para pintar una casa;10;11;1;30;1.72;http://www.hogar-soluciones.es/servicios/pintura;0.17;0.19;0.67;9990000;0.20,0.99,0.40,0.60,0.60,0.40,0.40,0.20,0.80,0.80,0.40,0.20
reparaciones de parquet;3;0;0;10;1.28;https://www.hogar-soluciones.es/servicios/parquet_y_tarima;0.17;0.14;0.79;497000;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.50,0.50,0.50,0.50
tecnico de lavavajillas;7;14;7;20;2.40;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.15;0.24;0.83;668000;0.50,0.25,0.25,0.50,0.50,0.75,0.50,0.25,0.50,0.50,0.99,0.99
servicio tecnico electrodomesticos;19;18;-1;260;2.52;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.14;0.25;0.84;454000;0.99,0.54,0.67,0.67,0.82,0.67,0.67,0.54,0.82,0.67,0.54,0.44
tecnico en reparacion de electrodomesticos;4;0;0;10;0.69;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.13;0.06;0.77;868000;0.50,0.50,0.50,0.50,0.00,0.50,0.50,0.50,0.50,0.50,0.99,0.50
reparacion lavavajillas;16;12;-4;140;4.21;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.13;0.37;0.85;464000;0.99,0.82,0.65,0.65,0.65,0.53,0.82,0.99,0.82,0.82,0.99,0.82
reparacion de aparatos electrodomesticos;4;4;0;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.13;0.00;0.23;707000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
servicio de electrodomesticos;4;0;0;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.13;0.00;0.27;1850000;0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.99,0.11,0.11,0.11,0.11
reparaciones para el hogar;4;0;0;10;0.00;https://www.hogar-soluciones.es/;0.13;0.00;0.45;1140000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
tecnico electrodomesticos;14;10;-4;90;2.13;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.12;0.17;0.72;592000;0.99,0.99,0.82,0.99,0.64,0.82,0.64,0.64,0.64,0.82,0.64,0.64
empresas pintura;8;8;0;20;2.92;http://www.hogar-soluciones.es/servicios/pintura;0.11;0.22;0.91;21800000;0.99,0.33,0.67,0.99,0.67,0.33,0.67,0.67,0.99,0.67,0.67,0.67
mosquitera velcro;15;15;0;110;0.42;http://www.hogar-soluciones.es/blog/58/instalacion-mosquiteras;0.10;0.02;0.62;29000;0.16,0.53,0.66,0.99,0.53,0.34,0.16,0.03,0.06,0.03,0.06,0.06
reparacion de parquet;12;12;0;40;1.50;https://www.hogar-soluciones.es/servicios/parquet_y_tarima;0.09;0.09;0.75;520000;0.99,0.99,0.40,0.80,0.40,0.99,0.80,0.80,0.80,0.40,0.99,0.80
presupuesto de pintura de casas;6;7;1;10;0.00;http://www.hogar-soluciones.es/servicios/pintura;0.09;0.00;0.00;638000;0.00,0.99,0.00,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
reparacion ventanas de aluminio;6;0;0;10;1.02;http://www.hogar-soluciones.es/servicios/carpinteria_aluminio;0.09;0.06;0.77;689000;0.99,0.50,0.99,0.99,0.50,0.50,0.50,0.99,0.50,0.50,0.99,0.50
pintor para casa;6;3;-3;10;0.00;http://www.hogar-soluciones.es/servicios/pintura;0.09;0.00;0.00;20300000;0.99,0.99,0.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.00,0.00
servicio tecnico de reparacion de electrodomesticos;6;7;1;10;0.71;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.09;0.04;0.93;735000;0.99,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.99,0.50
reparacion de ventanas de casa;5;0;0;10;0.00;http://www.hogar-soluciones.es/servicios/carpinteria_aluminio;0.09;0.00;0.00;836000;0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tecnicos en reparacion de lavadoras;5;9;4;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.09;0.00;1.00;483000;0.00,0.99,0.99,0.99,0.00,0.99,0.99,0.00,0.00,0.99,0.99,0.99
reparaciones de puertas de madera;5;0;0;10;0.00;http://www.hogar-soluciones.es/servicios/carpinteria_madera;0.09;0.00;1.00;524000;0.99,0.00,0.99,0.99,0.99,0.00,0.99,0.99,0.99,0.00,0.99,0.99
empresa reparaciones del hogar;5;0;0;10;2.02;https://www.hogar-soluciones.es/;0.09;0.12;0.75;1950000;0.99,0.67,0.33,0.33,0.33,0.33,0.33,0.99,0.33,0.33,0.33,0.67
pintor de pared;11;16;5;10;0.00;http://www.hogar-soluciones.es/servicios/pintura;0.08;0.00;0.50;4050000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
como instalar una caja fuerte;11;12;1;10;0.00;https://www.hogar-soluciones.es/blog/64/instalacion-caja-fuerte;0.08;0.00;0.37;509000;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.99
parquet reparacion;11;11;0;10;0.00;https://www.hogar-soluciones.es/servicios/parquet_y_tarima;0.08;0.00;0.80;445000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.00,0.99,0.99
ventanas doble acristalamiento;13;13;0;50;1.04;http://www.hogar-soluciones.es/blog/49/ventanas-doble-acristalamiento;0.08;0.05;0.64;398000;0.78,0.78,0.78,0.56,0.22,0.44,0.22,0.78,0.44,0.56,0.99,0.99
reparacion parquet;13;0;0;50;1.12;https://www.hogar-soluciones.es/servicios/parquet_y_tarima;0.08;0.06;0.75;359000;0.71,0.56,0.56,0.71,0.71,0.56,0.71,0.56,0.56,0.71,0.99,0.71
estanterias de obra;17;14;-3;110;0.32;http://www.hogar-soluciones.es/blog/53/estanterias-de-obra;0.08;0.01;0.39;622000;0.82,0.53,0.53,0.41,0.65,0.65,0.65,0.53,0.82,0.65,0.99,0.82
casas pintor;17;17;0;110;0.00;http://www.hogar-soluciones.es/servicios/pintura;0.08;0.00;0.21;11000000;0.99,0.52,0.67,0.33,0.24,0.33,0.43,0.52,0.67,0.67,0.67,0.67
reparación electrodomésticos;18;12;-6;140;3.52;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.08;0.18;0.83;3710000;0.52,0.52,0.52,0.52,0.67,0.67,0.52,0.43,0.67,0.99,0.67,0.52
reparación de electrodomésticos;18;11;-7;140;4.34;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.08;0.23;0.78;121000000;0.67,0.67,0.52,0.67,0.99,0.67,0.99,0.67,0.99,0.52,0.43,0.67
servicio tecnico para lavadoras;7;7;0;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.07;0.00;0.00;615000;0.50,0.50,0.50,0.50,0.00,0.99,0.50,0.50,0.50,0.50,0.50,0.00
servicio tecnico reparaciones;7;16;9;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.07;0.00;0.18;817000;0.33,0.33,0.33,0.33,0.99,0.33,0.33,0.33,0.33,0.33,0.33,0.33
servicio tecnico de reparaciones;7;16;9;10;0.07;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.07;0.00;0.28;836000;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99
pintura de casas;12;14;2;30;1.08;http://www.hogar-soluciones.es/servicios/pintura;0.07;0.05;0.53;22100000;0.80,0.60,0.60,0.60,0.40,0.40,0.60,0.40,0.60,0.99,0.80,0.60
presupuesto para pintar un piso;13;0;0;40;3.05;http://www.hogar-soluciones.es/servicios/pintura;0.06;0.14;0.72;495000;0.99,0.14,0.14,0.28,0.99,0.71,0.71,0.71,0.43,0.14,0.56,0.56
servicio tecnico de electrodomesticos;17;15;-2;90;4.51;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.06;0.20;0.64;990000;0.33,0.19,0.33,0.33,0.52,0.33,0.43,0.99,0.67,0.33,0.43,0.52
pintar casas;16;0;0;70;0.83;http://www.hogar-soluciones.es/servicios/pintura;0.06;0.03;0.37;2370000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.71,0.99,0.71,0.99,0.71
reparador de parquet;14;14;0;50;1.01;https://www.hogar-soluciones.es/servicios/parquet_y_tarima;0.06;0.04;0.56;73000;0.56,0.71,0.56,0.28,0.56,0.71,0.71,0.71,0.71,0.71,0.99,0.99
servicios de reparacion;8;8;0;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.05;0.00;0.44;10600000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
presupuesto para pintar;10;8;-2;10;0.00;http://www.hogar-soluciones.es/servicios/pintura;0.05;0.00;0.41;633000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
reparaciones lavavajillas;8;12;4;10;5.85;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.05;0.22;0.97;471000;0.99,0.50,0.99,0.99,0.50,0.50,0.50,0.50,0.50,0.99,0.99,0.50
empresas pintores;8;8;0;10;1.55;http://www.hogar-soluciones.es/servicios/pintura;0.05;0.05;0.82;1680000;0.67,0.33,0.67,0.99,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
servicio tecnico y reparacion;10;11;1;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.05;0.00;0.00;1180000;0.99,0.99,0.99,0.99,0.99,0.00,0.00,0.99,0.00,0.99,0.99,0.00
servicios de reparaciones;8;8;0;10;0.00;https://www.hogar-soluciones.es/;0.05;0.00;0.40;26600000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
servicio reparacion electrodomesticos;10;10;0;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.05;0.00;0.50;1340000;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.50,0.50,0.99,0.50
empresas de reparacion;8;0;0;10;0.00;https://www.hogar-soluciones.es/;0.05;0.00;0.85;31000000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
servicio de reparacion de electrodomesticos;8;7;-1;10;8.31;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.05;0.31;0.62;1140000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
servicios de reparacion de electrodomesticos;8;0;0;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.05;0.00;0.86;1310000;0.99,0.99,0.99,0.99,0.99,0.00,0.00,0.00,0.99,0.99,0.99,0.99
pintores casa;10;12;2;10;2.29;http://www.hogar-soluciones.es/servicios/pintura;0.05;0.08;0.87;5470000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
instalacion de persianas;19;0;0;90;2.50;http://www.hogar-soluciones.es/servicios/persianas_y_Toldos;0.05;0.08;0.85;793000;0.64,0.36,0.64,0.99,0.99,0.36,0.79,0.79,0.79,0.99,0.50,0.28
reparacion de cristales;13;14;1;30;0.91;http://www.hogar-soluciones.es/servicios/cristaleria;0.05;0.03;0.85;962000;0.75,0.75,0.50,0.75,0.50,0.75,0.75,0.50,0.50,0.50,0.99,0.75
empresas de albañileria;14;13;-1;30;1.47;https://www.hogar-soluciones.es/servicios/albanileria;0.04;0.03;0.87;623000;0.80,0.40,0.60,0.60,0.60,0.60,0.80,0.80,0.60,0.40,0.99,0.80
tecnico lavavajillas;15;20;5;30;2.09;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.02;0.04;0.87;501000;0.20,0.60,0.40,0.60,0.60,0.99,0.60,0.40,0.99,0.60,0.80,0.99
proveedores axa;16;15;-1;30;0.00;http://www.hogar-soluciones.es/condiciones_del_servicio;0.02;0.00;0.01;193000;0.33,0.11,0.22,0.22,0.22,0.11,0.11,0.22,0.33,0.33,0.44,0.99
presupuesto albañileria;19;0;0;50;1.96;https://www.hogar-soluciones.es/servicios/albanileria;0.02;0.03;0.78;383000;0.99,0.64,0.64,0.45,0.64,0.36,0.27,0.36,0.36,0.45,0.64,0.45
instalar caja fuerte;16;10;-6;30;2.29;https://www.hogar-soluciones.es/blog/64/instalacion-caja-fuerte;0.02;0.04;0.71;340000;0.60,0.40,0.40,0.40,0.60,0.99,0.40,0.40,0.40,0.80,0.99,0.60
reparacion de toldos;19;0;0;50;1.27;http://www.hogar-soluciones.es/servicios/persianas_y_Toldos;0.02;0.02;0.81;709000;0.36,0.45,0.45,0.82,0.99,0.82,0.64,0.27,0.45,0.27,0.36,0.36
reparaciones persianas;14;0;0;20;3.95;http://www.hogar-soluciones.es/servicios/persianas_y_Toldos;0.02;0.07;0.84;516000;0.28,0.14,0.28,0.99,0.14,0.56,0.28,0.28,0.28,0.14,0.14,0.14
servicio técnico electrodomésticos;14;12;-2;20;2.23;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.02;0.03;0.76;896000;0.20,0.40,0.20,0.20,0.40,0.40,0.40,0.80,0.99,0.20,0.20,0.40
instalacion caja fuerte;12;12;0;10;0.38;https://www.hogar-soluciones.es/blog/64/instalacion-caja-fuerte;0.02;0.00;0.85;271000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
empresa de reparaciones;12;12;0;10;1.13;https://www.hogar-soluciones.es/;0.02;0.01;0.56;15700000;0.99,0.99,0.50,0.99,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.99
reparación de electrodomesticos;12;15;3;10;0.00;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.02;0.00;0.75;2190000;0.50,0.99,0.50,0.99,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
pintar pisos;17;17;0;30;0.93;http://www.hogar-soluciones.es/servicios/pintura;0.02;0.01;0.42;1360000;0.60,0.60,0.40,0.40,0.60,0.60,0.60,0.99,0.60,0.60,0.80,0.99
electrodomesticos reparacion;17;7;-10;30;1.03;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.02;0.01;0.71;2400000;0.25,0.75,0.50,0.50,0.99,0.75,0.99,0.50,0.75,0.75,0.50,0.50
reparación lavavajillas;16;0;0;20;1.29;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.01;0.01;0.94;710000;0.50,0.50,0.50,0.25,0.50,0.25,0.75,0.50,0.75,0.75,0.75,0.99
reparacion de puertas de madera;15;14;-1;20;0.69;http://www.hogar-soluciones.es/servicios/carpinteria_madera;0.01;0.00;0.80;476000;0.50,0.50,0.75,0.50,0.50,0.99,0.75,0.50,0.50,0.50,0.50,0.75
cajas fuertes para casa;19;17;-2;30;0.71;https://www.hogar-soluciones.es/blog/64/instalacion-caja-fuerte;0.01;0.00;0.99;618000;0.99,0.60,0.60,0.60,0.40,0.40,0.40,0.40,0.99,0.99,0.99,0.40
reparacion cristales;13;11;-2;10;0.00;http://www.hogar-soluciones.es/servicios/cristaleria;0.01;0.00;0.91;836000;0.33,0.33,0.33,0.67,0.67,0.33,0.99,0.67,0.33,0.33,0.33,0.33
pintura para casas;19;19;0;30;0.50;http://www.hogar-soluciones.es/servicios/pintura;0.01;0.00;0.34;16400000;0.75,0.75,0.99,0.50,0.50,0.99,0.50,0.75,0.50,0.50,0.50,0.75
albanileria;19;17;-2;30;0.00;https://www.hogar-soluciones.es/servicios/albanileria;0.01;0.00;0.19;372000;0.80,0.40,0.40,0.60,0.60,0.40,0.99,0.80,0.40,0.60,0.60,0.60
presupuesto pintura casa;18;0;0;30;2.64;http://www.hogar-soluciones.es/servicios/pintura;0.01;0.03;0.82;909000;0.14,0.14,0.28,0.28,0.99,0.14,0.43,0.14,0.43,0.14,0.71,0.99
tecnico frigorifico;19;14;-5;30;1.47;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;0.01;0.01;0.80;558000;0.80,0.20,0.20,0.40,0.99,0.80,0.99,0.60,0.80,0.60,0.60,0.60
